Review Title,Aircraft,Type of Traveller,Seat Type,Route,Date Flown,Seat Comfort,Cabin Staff Service,Food Beverages,Inflight Entertainment,Ground Service,Value For Money
"""worst business class I have flown""",No Aircraft,Family Leisure,Business Class,Budapest to Philadelphia via London,July 2017,2,4,2,2,3,3
"""The attendants were polite""",A380,Solo Leisure,Premium Economy,London to Hong Kong,December 2017,4,4,4,4,5,3
"""bad service with delayed luggage""",No Aircraft,Solo Leisure,Economy Class,London to Montreal,December 2017,2,4,2,3,1,1
"""currently looking for the luggage""",Boeing 777,Family Leisure,First Class,London to Houston,December 2017,3,3,1,3,1,1
"""Absolutely horrendous experience""",No Aircraft,Couple Leisure,Economy Class,Las Vegas to London,December 2017,1,1,1,2,1,1
"""biggest disappointment was the cabin crew""",Boeing 747-400,Solo Leisure,Economy Class,Dubai to London Heathrow,December 2017,2,1,2,1,4,2
"""cancelled due to heavy snow""",Boeing 747-400,Solo Leisure,Economy Class,New York to Budapest via London,December 2017,1,1,1,1,1,1
"""I was very hungry throughout the service""",No Aircraft,Solo Leisure,Economy Class,Tokyo Narita to London Heathrow,December 2017,2,1,1,1,2,1
"""quite disappointed with my experience""",A320,Couple Leisure,Economy Class,Hamburg to London Heathrow,June 2017,3,2,No rating,No rating,5,2
"""a poor economy class product""",A320,Family Leisure,Economy Class,London to Pisa,October 2017,1,1,1,1,1,1
"""no longer a full service airline""",A320,Family Leisure,Economy Class,London to Toulouse,October 2017,1,1,1,1,1,1
"""Lovely, friendly crew""",Boeing 787-900,Solo Leisure,Business Class,London to Santiago,November 2017,5,5,4,4,4,5
"""morphing into a low-cost carrier""",A320,Couple Leisure,Economy Class,London to Rome,November 2017,5,3,No rating,No rating,5,5
"""used to include complimentary tea/sandwich""",No Aircraft,Solo Leisure,Economy Class,London to Manchester,November 2017,4,5,No rating,No rating,4,4
"""little to complain about""",Boeing 777,Solo Leisure,Premium Economy,London to Seattle,November 2017,4,4,4,3,4,4
"""policy of charging to book a seat""",Boeing 777,Solo Leisure,Premium Economy,Seattle to London,November 2017,4,4,3,3,4,4
"""ground service was really poor""",A320,Family Leisure,Economy Class,London to Barcelona,June 2017,1,1,No rating,No rating,1,1
"""the worst travel experience""",Boeing 747-400,Business,Economy Class,Vancouver to Edinburgh via London,December 2017,2,2,3,2,1,2
"""Noticeable cost cutting measures""",A319,Solo Leisure,First Class,London to Berlin Tegel,November 2017,2,2,1,1,4,2
"""1st product is very mediocre""",Boeing 777-200,Family Leisure,First Class,London Heathrow to Dubai,November 2017,3,4,2,2,3,1
"""sad experience from our national carrier""",Boeing 777-200,Family Leisure,First Class,Dubai to London Heathrow,November 2017,3,2,2,2,2,2
"""BA quality is severely lacking""",Boeing 777-200,Business,Business Class,Saint Lucia to London Gatwick,November 2017,2,3,2,4,4,2
"""fast and efficient service""",A320,Business,Business Class,London Heathrow to Belfast,November 2017,4,5,4,No rating,4,4
"""it’s just spiralling down""",No Aircraft,Solo Leisure,Economy Class,London to Miami,November 2017,1,1,3,3,1,1
"""new improvements are excellent""",Boeing 747-400,Couple Leisure,Business Class,London Heathrow to New York JFK,November 2017,4,5,5,5,4,4
"""unreliable, unprofessional airline""",No Aircraft,Business,Economy Class,Berlin to London City,September 2017,1,1,1,1,1,1
"""pleasure to fly with a great airline""",No Aircraft,Solo Leisure,Economy Class,Funchal to London Gatwick,November 2017,5,5,5,No rating,5,5
"""One issue after another!""",No Aircraft,Couple Leisure,Business Class,Newcastle to San Francisco via London Heathrow,August 2017,4,5,4,4,3,3
"""BA needs to improve and fast""",A320-200,Couple Leisure,Business Class,Manchester to London,October 2017,1,3,3,No rating,1,3
"""check in my carry on luggage for free""",Boeing 767,Family Leisure,Economy Class,London to Athens,November 2017,3,3,No rating,No rating,1,2
"""sad to see how BA service went down""",A320/319,Business,Economy Class,Berlin Tegel to London Heathrow,November 2017,4,1,No rating,No rating,2,1
"""a no frills business class""",Boeing 777,Couple Leisure,Business Class,London Heathrow to Doha,October 2017,2,3,2,1,2,3
"""British Airways is seriously lacking""",Boeing 777-300,Couple Leisure,Economy Class,Singapore to Sydney,November 2017,3,1,1,2,3,2
"""BA is shameless and embarrassing""",A320,Business,Economy Class,London Heathrow to Basel,November 2017,2,1,1,No rating,1,1
"""poor quality product crew have to support""",Boeing 747,Couple Leisure,Economy Class,Miami to London Heathrow,November 2017,1,5,1,1,3,3
"""the worst airline I have flown""",Boeing 747-400,Business,Business Class,Prague to Washington via London,November 2017,1,1,1,1,1,1
"""An excellent flight""",Boeing 747-400,Couple Leisure,First Class,Cape Town to London,November 2017,4,5,5,3,4,4
"""the CEO is running BA to the ground""",Boeing 777-200 ER,Business,Premium Economy,Bangkok to London Heathrow,September 2017,2,4,3,1,5,3
"""bus transfer and arrival at 2.30am""",No Aircraft,Solo Leisure,Economy Class,London Gatwick to Verona,October 2017,4,2,No rating,No rating,1,1
"""Short-haul with BA never again""",No Aircraft,Business,Economy Class,Madrid to London Heathrow,September 2017,3,4,No rating,No rating,3,1
"""solid product and excellent crew""",Boeing 777-200,Solo Leisure,First Class,Tel Aviv to London,November 2017,5,4,5,4,2,5
"""was a very enjoyable flight""",Boeing 777-200,Solo Leisure,Business Class,London to Tel Aviv,November 2017,5,4,4,1,4,5
"""The service was brusque""",Boeing 787,Family Leisure,Economy Class,Kuala Lumpur to Madrid via London,November 2017,4,3,2,4,3,4
"""inflight service was very poor""",A319,Solo Leisure,Economy Class,Madrid to London Heathrow,November 2017,3,1,1,No rating,2,3
"""this was not acceptable""",No Aircraft,Couple Leisure,Economy Class,Bologna to London Heathrow,October 2017,1,1,2,4,4,2
"""prepare to be nickled and dimed""",No Aircraft,Couple Leisure,Economy Class,Baltimore to Rome via London,November 2017,1,2,1,1,1,1
"""In-flight service good""",A380,Couple Leisure,Business Class,London Heathrow to Johannesburg,November 2017,4,4,4,3,4,4
"""will think twice before choosing again""",No Aircraft,Solo Leisure,Economy Class,London Heathrow to Brussels,November 2017,4,1,3,1,5,3
"""a functional, disinterested service""",No Aircraft,Solo Leisure,Premium Economy,London to San Francisco,October 2017,1,1,1,3,3,1
"""BA is just too cheap on it's product""",Boeing 787,Solo Leisure,Business Class,London Heathrow to Seoul Incheon,January 2017,3,4,2,3,2,3
"""BA is way behind other carriers""",Boeing 787,Solo Leisure,Business Class,Seoul Incheon to London Heathrow,December 2016,3,3,3,3,4,3
"""It was the most uncomfortable flight""",Boeing 747,Business,Economy Class,Cape Town to London,November 2017,1,1,1,1,3,3
"""Cost cutting was in evidence""",No Aircraft,Solo Leisure,Business Class,London Heathrow to Bahrain,November 2017,2,3,3,1,1,3
"""crew amazingly helpful""",Boeing 747,Family Leisure,Business Class,London to Philadelphia,October 2017,4,5,2,4,4,4
"""extra cost not justified""",Boeing 767,Business,Business Class,London to Edinburgh,November 2017,1,3,3,No rating,3,1
"""requested Asian vegetarian food""",No Aircraft,Family Leisure,Economy Class,Oakland to Gatwick,October 2017,1,1,1,No rating,1,1
"""continually disappointed by British Airways""",A321,Business,Economy Class,Düsseldorf to London,August 2017,3,4,2,3,2,1
"""need to clean the planes more often""",Boeing 787-9,Couple Leisure,Business Class,London to Santiago,November 2017,3,4,3,3,4,3
"""Complete rip-off sums it up""",Boeing 747-400,Business,Business Class,London to New York JFK,November 2017,2,3,2,3,3,1
"""exactly the same width and pitch""",No Aircraft,Couple Leisure,Business Class,Johannesburg to Victoria Falls,October 2017,1,3,3,1,1,1
"""disappointed with the return flight""",Boeing 777-200,Couple Leisure,Business Class,London to Mumbai,October 2017,3,4,2,1,5,1
"""They were refused boarding""",No Aircraft,Family Leisure,Business Class,London to Johannesburg,October 2017,2,2,No rating,No rating,1,1
"""The worst customer service""",No Aircraft,Business,Economy Class,Heathrow to Lyon,November 2017,1,1,1,1,1,1
"""Absolutely appalling service""",No Aircraft,Couple Leisure,Economy Class,London to New York,November 2017,1,1,1,4,1,1
"""I had a horrid experience""",No Aircraft,Solo Leisure,Economy Class,Kingston to London Gatwick,November 2017,1,1,1,1,2,1
"""well below standards of competition""",A320,Couple Leisure,Economy Class,Heathrow to Barcelona,November 2017,2,2,No rating,No rating,3,2
"""just getting worse and worse""",No Aircraft,Business,Business Class,Singapore to London,October 2017,1,3,1,2,2,1
"""a better BA experience""",No Aircraft,Couple Leisure,Business Class,London to Rome,October 2017,2,5,5,No rating,4,3
"""ashamed this is my national airline""",No Aircraft,Solo Leisure,Premium Economy,Heathrow to Dubai,September 2017,1,1,1,1,1,1
"""one of the worst flights""",Boeing 777,Solo Leisure,Economy Class,Tokyo Haneda to Heathrow,October 2017,1,2,1,1,2,3
"""today just another 2 star airline""",Boeing 787-8,Business,Business Class,London to Toronto,October 2017,2,2,1,1,1,2
"""BA is now grossly overpriced""",Boeing 747-400,Business,First Class,New York JFK to London,October 2017,3,4,3,4,3,2
"""I will not use BA again""",No Aircraft,Couple Leisure,Economy Class,Gatwick to Marrakech,October 2017,1,1,No rating,No rating,3,1
"""on-board experience was good""",A380,Solo Leisure,Economy Class,Los Angeles to London Heathrow,July 2017,4,4,4,4,4,4
"""pleasant and well organised""",A320,Solo Leisure,Economy Class,Gatwick to Cagliari,October 2017,4,4,2,No rating,4,3
"""deplorable customer service""",No Aircraft,Couple Leisure,Business Class,Shanghai to Tampa via Heathrow/Gatwick,October 2017,1,4,2,2,1,1
"""gripe is about the current food service""",A320,Couple Leisure,Economy Class,Gatwick to Marrakech,October 2017,3,1,1,No rating,4,4
"""this flight was fine""",No Aircraft,Solo Leisure,Business Class,Oakland to Heathrow,October 2017,4,4,3,2,4,4
"""now becoming as bad as Ryanair""",No Aircraft,Family Leisure,Economy Class,London to Sofia,September 2017,3,4,1,No rating,3,3
"""a dismal airline to fly with""",A380,Solo Leisure,Economy Class,Singapore to Nassau via Heathrow,October 2017,3,2,2,2,3,5
"""serious impact on the quality""",A321,Business,Economy Class,London Heathrow to Madrid,October 2017,1,2,No rating,No rating,2,1
"""budget airline at premium price""",A320,Business,Economy Class,London to Zurich,October 2017,2,2,1,1,2,1
"""Cabin crew chatting and ignored me""",A319,Couple Leisure,Economy Class,Bari to Gatwick,October 2017,3,3,1,1,4,4
"""service levels are dropping so low""",A320,Couple Leisure,Economy Class,London Heathrow to Gibraltar,September 2017,3,2,2,No rating,3,3
"""Time to find a new CEO I think""",A319,Couple Leisure,Business Class,Pisa to London,October 2017,1,5,3,No rating,3,1
"""at best a three star airline""",Boeing 747-400,Business,First Class,Las Vegas to London Heathrow,September 2017,1,1,1,1,1,1
"""Impressed with legroom on E190""",E-190,Family Leisure,Economy Class,London City to Edinburgh,September 2017,5,4,4,No rating,4,4
"""a good deal on the flight""",A320,Solo Leisure,Business Class,Faro to Gatwick,October 2017,4,5,4,No rating,2,3
"""the experience was shameful""",A380,Solo Leisure,Economy Class,Los Angeles to London Heathrow,October 2017,4,1,2,1,5,2
"""crew seem genuinely fed up""",No Aircraft,Business,Economy Class,Malaga to Gatwick,October 2017,2,1,1,1,1,2
"""how disappointed I was""",Boeing 777,Solo Leisure,Economy Class,London Heathrow to Bangkok,October 2017,2,2,1,1,2,2
"""do not care for passengers""",A319,Couple Leisure,Economy Class,Gatwick to Bari,October 2017,3,3,1,No rating,2,4
"""very pleasant crew """,A319,Family Leisure,Business Class,Malaga to Gatwick,October 2017,5,5,5,No rating,3,5
"""food was well presented""",A319,Family Leisure,Business Class,Gatwick to Malaga,October 2017,5,5,5,No rating,4,5
"""Deliberate extortion""",No Aircraft,Business,Economy Class,London Heathrow to Nice,October 2017,1,2,1,No rating,1,1
"""depths to which BA have descended""",Boeing 747-400,Couple Leisure,Business Class,Gatwick to Orlando,September 2017,3,2,4,2,3,3
"""I won't fly with them again""",No Aircraft,Solo Leisure,Premium Economy,London to Abu Dhabi,August 2017,5,3,4,3,1,1
"""Overall a good flight""",A319,Solo Leisure,Business Class,Gatwick to Faro,October 2017,3,4,4,No rating,4,5
"""true case of rip-off BA""",No Aircraft,Business,Economy Class,London Heathrow  to Madrid,October 2017,3,3,1,1,3,2
"""staff were insanely rude2",No Aircraft,Solo Leisure,Economy Class,Geneva to London,September 2017,3,1,No rating,No rating,1,1
"""truly disappointed with BA""",No Aircraft,Solo Leisure,Economy Class,Grand Cayman to London,September 2017,1,2,2,3,3,2
"""I tried BA, never again""",No Aircraft,Couple Leisure,Economy Class,Sydney to Paris via London,September 2017,1,2,2,3,3,1
"""like a 'posh' Ryanair""",Boeing 767,Couple Leisure,Economy Class,Larnaca to London Heathrow,October 2017,3,3,No rating,1,4,3
"""provided a chaotic service""",A320,Couple Leisure,Business Class,Funchal to Gatwick,October 2017,4,1,1,No rating,1,3
"""would highly recommend""",No Aircraft,Family Leisure,Economy Class,Orlando to Gatwick,September 2017,5,5,4,1,5,5
"""shocked me with the budget low cost style""",A320,Solo Leisure,Economy Class,Leeds Bradford to Geneva via London Heathrow,October 2017,4,4,2,No rating,4,2
"""food was embarrassing bad""",A380,Business,Business Class,Los Angeles to Doha via London,October 2017,2,3,1,4,4,3
"""is quite clearly in decline""",A321,Couple Leisure,Economy Class,London Heathrow to Istanbul,August 2017,2,1,1,No rating,2,1
"""no further decline in service""",Boeing 777-200 / 787-9 / A319/ 320,Business,Premium Economy,Toronto to Oslo via London,September 2017,1,3,1,3,4,4
"""cost of the luggage was outrageous """,No Aircraft,Solo Leisure,Economy Class,Gatwick to Malaga,September 2017,3,4,2,No rating,4,3
"""Slowest baggage drop service """,No Aircraft,Business,Economy Class,Athens to London,September 2017,3,No rating,No rating,No rating,1,3
"""a service of 2 halves""",A321,Solo Leisure,Economy Class,London to Sofia,September 2017,3,5,2,No rating,3,3
"""now worse than Ryanair""",No Aircraft,Business,Business Class,Geneva to London,September 2017,1,1,1,1,1,1
"""used to be a nice airline""",No Aircraft,Couple Leisure,Business Class,Barcelona to London,September 2017,2,3,1,No rating,4,2
"""BA has fallen even lower""",No Aircraft,Business,Business Class,London to New York JFK,September 2017,2,3,1,1,1,2
"""was a good experience""",Boeing 777,Business,Economy Class,Port of Spain to Gatwick via St. Lucia,September 2017,5,5,5,5,4,4
"""Simply appalling""",Boeing 747-400,Business,First Class,London Heathrow to Chicago,August 2017,1,1,1,1,1,1
"""on a par with low cost carriers""",A319,Couple Leisure,Economy Class,Jersey to Gatwick,September 2017,3,4,1,No rating,4,4
"""nothing special to recommend""",A320,Couple Leisure,Economy Class,Gatwick to Tirana,September 2017,3,3,No rating,No rating,4,3
"""assumption it was a quality carrier""",No Aircraft,Couple Leisure,Economy Class,Reykjavik to London Heathrow,September 2017,3,5,No rating,No rating,1,1
"""Economy seats are small""",No Aircraft,Couple Leisure,Economy Class,Kuala Lumpur to Berlin via London,September 2017,2,5,5,3,4,5
"""Crew were good""",A320,Solo Leisure,Economy Class,Brussels to London,September 2017,5,5,No rating,No rating,5,5
"""clean plane, punctual service, pleasant cabin crew""",A321,Solo Leisure,Economy Class,London Heathrow to Sofia,September 2017,4,4,1,No rating,3,3
"""service is similar to Eurowings""",A320,Solo Leisure,Economy Class,Heathrow to Bilbao,September 2017,3,2,No rating,No rating,4,3
"""service poorly synchronised""",A320,Couple Leisure,Business Class,Kalamata to London Heathrow,September 2017,2,2,2,No rating,3,2
"""are a bottom tier airline""",No Aircraft,Business,Economy Class,London Heathrow to Kraków,September 2017,2,1,1,1,3,3
"""Seat so narrow that you cannot move""",Boeing 777,Business,Economy Class,"London Heathrow to Abuja, Nigeria",September 2017,1,2,2,2,3,2
"""downgrade them to 3 stars""",Boeing 777,Business,Economy Class,London to Tokyo Haneda,September 2017,2,4,1,2,3,1
"""really mixed experience""",A380,Solo Leisure,Premium Economy,London to Hong Kong,September 2017,3,5,3,3,2,3
"""respect for BA standards thoroughly destroyed""",No Aircraft,Family Leisure,Economy Class,Gatwick to Alicante,September 2017,1,1,1,1,3,1
"""Club Europe is poor value""",A320,Couple Leisure,Business Class,London Heathrow to Kalamata,September 2017,2,4,3,No rating,3,3
"""very poor and disappointing experience""",No Aircraft,Couple Leisure,Business Class,Gatwick to Mauritius,September 2017,1,3,1,3,3,2
"""airline is clearly failing fast""",Boeing 777,Business,Business Class,Dubai to London,September 2017,3,1,1,1,3,1
"""nice flight with good cabin service""",A319,Couple Leisure,Economy Class,London Heathrow to Biarritz,September 2017,4,5,4,No rating,4,4
"""they are just an embarrassment""",A320,Couple Leisure,Economy Class,London Gatwick to Funchal,September 2017,1,1,1,No rating,2,1
"""very good flight again""",A320,Family Leisure,Business Class,Zakinthos to London Heathrow,September 2017,4,5,4,2,2,5
"""expensive at £343 return""",A319,Business,Economy Class,Belfast City to London Heathrow,September 2017,3,4,4,No rating,5,2
"""staff were extremely friendly""",Boeing 777-200,Business,Business Class,Toronto to London Heathrow,September 2017,4,5,3,No rating,4,4
"""kind and chatty with us""",A320,Family Leisure,Business Class,London Heathrow to Zakinthos,August 2017,4,5,4,2,5,5
"""wonderful member of crew""",A380,Family Leisure,Economy Class,London to Vancouver,August 2017,3,5,3,4,4,3
"""exceptionally ordinary flight""",Boeing 777-200ER,Business,Economy Class,London to Sao Paulo,August 2017,2,4,2,4,5,4
"""become a budget airline""",No Aircraft,Business,Business Class,Istanbul to London,August 2017,1,3,1,No rating,2,1
"""not recommended at all""",Boeing 777,Solo Leisure,Business Class,Bangkok to London,September 2017,4,1,1,2,4,1
"""not worth the extra money""",No Aircraft,Solo Leisure,Economy Class,Rome to London,September 2017,1,2,No rating,No rating,1,1
"""significant downgrade in BA service""",Boeing 747-400,Couple Leisure,Business Class,London to Cape Town,August 2017,2,2,2,1,1,2
"""get your act together""",A319,Business,Economy Class,London to Milan,August 2017,3,1,1,No rating,3,2
"""seating rough around the edges""",A321,Business,Economy Class,London Heathrow to Bucharest,August 2017,2,4,2,1,3,2
"""downgraded so drastically""",A321,Couple Leisure,Economy Class,London to Bologna,August 2017,4,4,2,1,4,4
"""not really a business class cabin""",A320,Business,Business Class,London Heathrow to Keflavik,August 2017,3,5,4,1,4,4
"""airline has gone downhill""",A320,Family Leisure,Economy Class,Larnaca to London Heathrow,August 2017,3,1,2,No rating,4,2
"""staff were friendly and efficient""",No Aircraft,Solo Leisure,Economy Class,San Jose to Gatwick,August 2017,4,5,4,3,5,5
"""avoid at all costs""",No Aircraft,Couple Leisure,Economy Class,London to Keflavik,July 2017,1,1,No rating,No rating,1,1
"""your budget airline status""",Boeing 777-300,Couple Leisure,Economy Class,Tokyo Haneda to London,August 2017,3,3,1,3,2,2
"""Absolutely appalling airline""",Boeing 767,Couple Leisure,Economy Class,Rome to London,August 2017,1,1,1,1,1,1
"""flight was pretty regular""",A320-233,Family Leisure,Economy Class,Amsterdam to Gatwick,August 2017,3,4,No rating,No rating,4,4
"""a noticeable degradation of service""",No Aircraft,Business,Economy Class,Zurich to London Heathrow,August 2017,2,2,2,No rating,2,2
"""A huge disappointment""",Boeing 747-400,Business,First Class,New York to Cape Town via London,August 2017,2,4,2,2,3,2
"""bland insulting service""",Boeing 747,Business,Business Class,London to Philadelphia,August 2017,3,1,1,1,2,1
"""positive first experience""",No Aircraft,Family Leisure,Economy Class,Florence to Bristol,August 2017,5,5,5,No rating,5,5
"""A national disgrace""",A320,Solo Leisure,Economy Class,Salzburg to Gatwick,August 2017,2,1,1,1,5,2
"""downgrade rating of British Airways""",No Aircraft,Couple Leisure,Economy Class,Nice to Heathrow,August 2017,2,1,1,No rating,1,2
"""Another miserable experience""",A320,Couple Leisure,Business Class,Athens to Newcastle via London,August 2017,2,5,1,No rating,5,2
"""a general trend downwards""",A319,Family Leisure,Business Class,London to Paris Orly,August 2017,3,3,2,No rating,3,3
"""cheap and sleazy budget airline""",No Aircraft,Couple Leisure,Economy Class,Toulouse to London Heathrow,August 2017,3,2,1,1,2,2
"""cabin crew fell below the standard""",Embraer 170,Business,Business Class,London City to Dusseldorf,August 2017,4,2,1,No rating,1,2
"""BA's golden years are well and truly over""",A380,Family Leisure,Business Class,Vancouver to London Heathrow,July 2017,1,4,1,2,2,1
"""very good experience""",Boeing 747-400 / A380,Solo Leisure,Premium Economy,Johannesburg to London,August 2017,5,5,5,5,4,4
"""extremely disappointed with Business Class""",Boeing 747-400,Solo Leisure,Business Class,Oslo to Philadelphia via London,August 2017,2,2,1,3,3,2
"""pay for your food on board""",No Aircraft,Business,Economy Class,London to Warsaw,August 2017,2,3,1,1,3,1
"""some sort of mean spirited joke""",A320,Family Leisure,Business Class,Athens to London,August 2017,1,2,1,1,3,1
"""full price for a low cost service""",No Aircraft,Solo Leisure,Economy Class,Cairo to Montreal via London,August 2017,3,4,4,3,1,1
"""downgraded the ticket""",No Aircraft,Family Leisure,Economy Class,London to Chicago,August 2017,1,5,No rating,No rating,1,1
"""they are now a junk airline""",Boeing 767,Business,Economy Class,Nice to London Heathrow,August 2017,1,1,1,No rating,1,1
"""way below the normal standard""",No Aircraft,Business,Premium Economy,London to Doha,August 2017,No rating,No rating,No rating,No rating,2,1
"""not worth the money""",A320,Business,Business Class,Paris CDG to London,August 2017,3,1,No rating,No rating,1,1
"""has become a disgrace""",A320,Solo Leisure,Economy Class,Gatwick to Paphos,August 2017,1,1,1,1,2,2
"""budget airline service at best""",A380,Solo Leisure,Economy Class,Vancouver to London Heathrow,August 2017,3,1,1,2,4,2
"""declined to level of a budget airline""",A380,Solo Leisure,Premium Economy,Vancouver to London,July 2017,2,1,1,1,3,3
"""next time we'll just fly another airline""",Boeing 767,Couple Leisure,Economy Class,Athens to London,June 2017,1,2,No rating,No rating,2,1
"""become a low cost airline""",No Aircraft,Couple Leisure,Economy Class,Catania to Gatwick,June 2017,2,1,1,No rating,1,1
"""need to improve their standards""",A319,Couple Leisure,Economy Class,Venice to Gatwick,July 2017,3,4,No rating,No rating,3,3
"""bad experience with BA""",No Aircraft,Family Leisure,Economy Class,Bucharest to London,July 2017,3,2,No rating,No rating,1,1
"""catch up with the others BA""",Boeing 747,Business,Business Class,London Heathrow to Accra,July 2017,1,2,1,1,1,1
"""I will not be using BA again""",Boeing 777,Family Leisure,Economy Class,Gatwick to Orlando,July 2017,4,3,2,3,1,3
"""The worst business class""",Boeing 777,Solo Leisure,Business Class,San Diego to London,July 2017,1,2,2,2,2,1
"""cabin crew were efficient and friendly enough""",A319,Couple Leisure,Business Class,Pisa to London Gatwick,July 2017,3,4,3,No rating,3,5
"""have never been treated as badly""",No Aircraft,Business,Economy Class,Budapest to London,July 2017,1,1,1,1,1,1
"""I had to pay a £140 excess""",No Aircraft,Solo Leisure,Economy Class,Bangkok to Manchester,August 2016,No rating,No rating,No rating,No rating,1,3
"""they have become so budget""",No Aircraft,Solo Leisure,Economy Class,Singapore to Newcastle via London,May 2017,1,3,1,1,1,1
"""BA have lost another client""",No Aircraft,Business,Economy Class,Bergen to London Heathrow,July 2017,2,2,1,2,2,1
"""happily fly with them again""",Boeing 777-300,Family Leisure,Economy Class,Newcastle to Boston via London,July 2017,5,5,5,5,4,4
"""they are truly awful now""",A321,Family Leisure,Economy Class,London Heathrow to Sofia,July 2017,2,1,1,No rating,1,1
"""slips further and further""",A320,Solo Leisure,Economy Class,London to Frankfurt,August 2016,3,1,1,No rating,2,2
"""can't really complain about the overall experience""",A321,Couple Leisure,Economy Class,London Heathrow to Bologna,July 2017,3,4,3,No rating,4,5
"""We won't be flying with BA again""",Boeing 747,Couple Leisure,Economy Class,London Heathrow to New York JFK,July 2017,2,1,1,3,2,1
"""such appalling customer service""",No Aircraft,Business,Economy Class,London Heathrow to Berlin,July 2017,1,1,1,No rating,1,1
"""BA cut us no slack for the injury""",A321 / Boeing 777,Couple Leisure,Business Class,Barcelona to Boston via London,July 2017,2,5,4,No rating,3,1
"""no different to EasyJet""",A321,Solo Leisure,Economy Class,London to Madrid,July 2017,2,3,1,1,3,4
"""endured rather than enjoyed""",A319,Business,Economy Class,London to Brussels,July 2017,2,2,No rating,No rating,2,2
"""very poor quality seats""",Boeing 747 400,Business,Business Class,London Heathrow to Accra,July 2017,1,3,1,1,1,1
"""service has gone downhill""",No Aircraft,Business,Economy Class,Krakow to London,May 2017,3,1,1,No rating,2,2
"""good on this occasion""",Boeing 777-200,Family Leisure,Economy Class,Gatwick to Bridgetown,July 2017,4,4,4,4,4,4
"""lacking the passion to serve""",Boeing 777,Business,Business Class,Dubai to London,July 2017,4,2,2,1,1,2
"""BA is just a budget airline""",A321,Couple Leisure,Economy Class,London to Sofia,June 2017,1,1,1,No rating,3,1
"""Food selection mediocre""",Boeing 777-200,Family Leisure,Business Class,Mauritius to Gatwick,July 2017,3,3,3,3,3,3
"""other carriers must be laughing""",Boeing 747,Business,Business Class,New York JFK to London Heathrow,July 2017,1,1,1,1,2,1
"""on time and safely at that""",A320,Business,Economy Class,Athens to London Heathrow,July 2017,3,2,1,1,3,3
"""never going to choose BA again""",No Aircraft,Couple Leisure,Economy Class,Venice to Gatwick,July 2017,3,1,No rating,No rating,1,1
"""won't be flying BA again""",No Aircraft,Couple Leisure,Economy Class,New York JFK to Manchester via Heathrow,February 2017,1,2,2,3,1,2
"""crew are still doing a great job""",Boeing 747-400,Solo Leisure,Economy Class,London to Boston,April 2017,4,5,5,4,4,5
"""am soon likely to hate it""",No Aircraft,Couple Leisure,Business Class,Naples to Gatwick,July 2017,4,3,4,No rating,3,2
"""angry and dissatisfied customer""",Boeing 777,Business,Business Class,Toronto to London Heathrow,June 2017,1,4,1,2,3,1
"""on a par with Ryanair""",No Aircraft,Solo Leisure,Economy Class,London to Montreal,June 2017,2,2,1,1,3,2
"""crew doing an excellent job""",A320,Couple Leisure,Business Class,Newcastle to Geneva via London,July 2017,4,5,4,No rating,3,4
"""experience has certainly changed""",A320,Couple Leisure,Economy Class,London to Keflavik,June 2017,4,5,5,No rating,5,4
"""really pleasant experience""",Boeing 777,Solo Leisure,Economy Class,London to Tokyo,July 2017,4,5,5,4,5,5
"""see the decline in quality from BA""",Boeing 777,Couple Leisure,Economy Class,Gatwick to Mauritius,June 2017,1,3,1,4,3,3
"""declined due to cost cutting""",Boeing 777 / A320,Couple Leisure,Premium Economy,Boston to Barcelona via London,July 2017,1,1,No rating,2,2,2
"""pre-selected seats retained""",Boeing 777-200,Family Leisure,Business Class,Gatwick to Mauritius,July 2017,3,3,3,2,4,3
"""turn it into a budget airline""",Boeing 767,Family Leisure,Economy Class,London Heathrow to Larnaca,June 2017,2,1,1,1,4,3
"""recommend to avoid flying with BA""",No Aircraft,Business,Premium Economy,London to Hong Kong,June 2017,2,2,2,2,3,2
"""serious need of a makeover""",No Aircraft,Solo Leisure,Economy Class,Belfast to Munich via Heathrow,July 2017,3,4,No rating,No rating,1,1
"""using a Qatar Airways plane""",A320,Couple Leisure,Economy Class,London Heathrow to Tallinn,July 2017,4,5,4,No rating,3,4
"""living in the past century""",No Aircraft,Couple Leisure,Economy Class,London to Barcelona,July 2017,3,2,1,1,1,1
"""a most unpleasant flight""",No Aircraft,Solo Leisure,Economy Class,Dubrovnik to Gatwick,June 2017,1,1,1,No rating,1,1
"""on par with EasyJet""",Boeing 767,Couple Leisure,Economy Class,Stockholm to London Heathrow,July 2017,2,3,No rating,No rating,1,2
"""recommend taking own food""",No Aircraft,Solo Leisure,Economy Class,London to Dubrovnik,June 2017,1,1,1,No rating,1,1
"""Nothing special or memorable""",Boeing 747-400,Business,Business Class,Accra to London Heathrow,July 2017,1,1,1,1,2,1
"""akin to a low cost carrier""",A321,Couple Leisure,Economy Class,London Heathrow to Stockholm,June 2017,2,3,No rating,No rating,3,3
"""BA need to do better""",No Aircraft,Couple Leisure,Economy Class,Malta to Gatwick,May 2017,3,1,1,No rating,4,2
"""Absolutely disgraceful""",No Aircraft,Couple Leisure,Economy Class,London to Zagreb,June 2017,No rating,No rating,No rating,No rating,1,1
